date,AAPL,MSFT,TSLA,SPY
2026-09-07,220.85,417.74,245.24,565.42
2026-09-08,220.56,419.02,260.23,564.93
2026-09-09,220.63,410.52,265.2,560.16
2026-09-10,215.81,410.22,250.84,561.07
2026-09-11,217.63,410.29,257.39,559.13
2026-09-14,222.38,417.59,265.46,558.26
2026-09-15,220.03,420.49,267.85,551.94
2026-09-16,221.52,421.83,268.0,549.87
2026-09-17,219.58,421.79,276.27,553.04
2026-09-18,223.27,431.02,272.92,556.74
2026-09-21,220.1,433.85,280.9,557.45
2026-09-22,215.12,427.3,280.82,556.28
2026-09-23,214.31,425.18,273.32,571.48
2026-09-24,215.19,430.58,273.74,568.51
2026-09-25,211.26,433.96,279.59,570.33
2026-09-28,209.83,436.02,275.74,573.99
2026-09-29,206.49,433.97,275.86,579.73
2026-09-30,208.09,427.71,261.62,578.91
2026-10-01,208.51,427.03,262.67,585.09
2026-10-02,209.32,422.03,256.36,591.77
2026-10-05,209.42,425.62,263.63,599.79
2026-10-06,212.82,423.55,250.67,598.39
2026-10-07,217.69,421.64,264.74,600.66
2026-10-08,217.45,424.01,256.85,603.62
2026-10-09,216.29,432.72,254.94,604.76
2026-10-12,214.06,433.74,259.66,613.66
2026-10-13,210.22,437.22,243.95,612.15
2026-10-14,211.06,436.04,237.42,608.91
2026-10-15,206.31,434.06,226.39,614.97
2026-10-16,209.65,435.98,232.41,619.43
