date,portfolio_pct,benchmark_pct
2026-09-07,0.7628,0.9356
2026-09-08,-0.2533,-0.013
2026-09-09,0.2918,0.9634
2026-09-10,0.3623,0.9886
2026-09-11,0.1661,0.5582
2026-09-14,0.4147,-0.0664
2026-09-15,-0.2699,0.5285
2026-09-16,-0.4985,0.6755
2026-09-17,-0.4916,0.4745
2026-09-18,0.7704,1.1372
2026-09-21,1.1582,0.3031
2026-09-22,-0.79,-0.2772
2026-09-23,0.0007,-1.2258
2026-09-24,0.3066,-1.4266
2026-09-25,0.3382,0.774
2026-09-28,0.0399,-1.4259
2026-09-29,-0.3688,-0.1564
2026-09-30,-0.3562,0.0335
2026-10-01,-0.1378,-1.6149
2026-10-02,-0.0773,0.5479
2026-10-05,1.0918,1.7844
2026-10-06,0.2716,0.4951
2026-10-07,0.3863,-1.1098
2026-10-08,-0.0834,1.1113
2026-10-09,0.1269,1.2705
2026-10-12,-0.5421,0.0667
2026-10-13,-0.5371,-1.0219
2026-10-14,-1.1714,-1.5208
2026-10-15,0.1209,0.4073
2026-10-16,-0.4505,-0.2573
